family,abs_error_hours,ape_pct
transistor,2192734.650571012,14.073230938842226
integrated_circuit,426135.9458155525,14.122203735653315
diode,1469510.0460163115,14.19725988940162
capacitor,3078377.042413969,15.407720671149441
resistor,5639211.132405464,16.15957507041026
inductor,3020451.737930272,16.27776141371768
crystal,1714760.2893498493,17.618994570478844
connector,488647.50062195724,17.716939537819165
